,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
102,Alienar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ocupação estrangeira alienou a população./ O governo comunista alienou a população intencionalmente.
103,Alinhar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O mecânico alinhou o carro.
104,Alinhavar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A costureira alinhavou o vestido.
105,Alisar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tratamento capilar alisou os cabelos da Joana./ A cabeleireira alisou os cabelos da Joana com a intenção de deixá-la diferente.
106,Almejar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),Todos na firma almejam o bom salário daquele cargo.
107,Almofadar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A dona de casa almofadou o sofá de alvenaria.
108,Alocar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O gerente da empresa alocou os funcionários (em outro salão).
109,Aloirar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A exposição ao sol aloirou os cabelos da surfista./ A cabeleireira aloirou os cabelos da surfista com a intenção de deixá-lo mais charmoso.
110,Alojar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O garçom alojou as garrafas de vinho (na adega).
111,Alongar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tratamento capilar alongou os cabelos da Joana./ A cabeleireira alongou os cabelos da Joana com a intenção de deixá-la diferente.
112,Alterar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A copa do mundo alterou a rotina da cidade./ A BHTRANS alterou a rotina da cidade intencionalmente.
113,Alterar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chegada do Paulo alterou a Maria.
114,Alucinar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A maneira passional de agir do namorado alucinou a moça.
115,Alvoroçar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cara engraçada do palhaço alvoroçava as crianças.
116,Alvoroçar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A limpeza nas árvores alvoroçou a colmeia./ O apicultor alvoroçou a colmeia para elas saírem das árvores.
117,Amaciar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A hidratação amaciou os cabelos da Maria./ O cabeleireiro amaciou os cabelos da Maria para deixá-lo menos volumoso.
118,Amadurecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A banana amadureceu.
119,Amaldiçoar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A feiticeira amaldiçoou a menina.
120,Amalgamar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O calor da fornalha amalgamou os metais./ O químico amalgamou os metais intencionalmente.
121,Amansar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O carinho do dono amansou o cachorro./ O dono amansou o cachorro para que as crianças pudessem chegar perto.
122,Amanteigar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A confeiteira amanteigou a forma de bolo.
123,Amar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O rapaz ama o jeito meigo da namorada.
124,Amarelar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),As folhas amarelaram.
125,Amargurar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As atitudes ríspidas do rapaz amarguraram a jovem.
126,Amarrar 1,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O sertanejo amarrou o cavalo (na árvore).
127,Amarrar 2,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O rapaz amarrou o paraquedas.
128,Amarrotar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso constante amarrotou a calça da modelo./ A estilista amarrotou a calça da modelo intencionalmente.
129,Amassar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A brincadeira amassou o vestido da menina./ O irmão amassou o vestido da menina intencionalmente.
130,Ambicionar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O governo ambiciona o ouro da Serra Branca.
131,Amedrontar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O autoritarismo do presidente amedrontava o povo.
132,Amedrontar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O barulho do trovão amedrontou o animal./ O peão amedrontou o animal de forma intencional.
133,Amenizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A brisa suave amenizou a temperatura da sala./ O professor amenizou a temperatura da sala para refrescar os alunos.
134,Amofinar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As lamentações da mulher amofinaram o marido.
135,Amoitar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O garoto amoitou objetos secretos (no jardim por anos).
136,Amolar 1,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A manicure amolou o alicate de unhas.
137,Amolar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As queixas do Tinoco amolaram tia Maria.
138,Amolecer 1,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A cera amoleceu.
139,Amolecer 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As palavras doces da filha amoleceram o pai.
140,Amontoar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ventania amontoou as folhas das árvores./ O varredor de rua amontoou as folhas das árvores para ficar mais fácil de recolhe-las.
141,Amordaçar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O adestrador amordaçou o cachorro bravo.
142,Amortalhar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os monges amortalharam o defunto.
143,Ampliar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chegada de capital estrangeiro ampliou o comércio da cidade./ O governo ampliou o comércio da cidade intencionalmente.
144,Amuar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As críticas do marido amuaram a mulher.
145,Anavalhar,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O capoeira anavalhou o menino.
146,Ancorar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O comandante ancorou o barco (numa ilha deserta).
147,Andar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O menino andava muito.
148,Anestesiar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A pancada anestesiou a perna do João./ O médico anestesiou a perna do João para operá-lo.
